id,station,line_1,line_2,line_3,line_4,line_5,line_6,line_7
1,Balcombe,1,,,,,,
2,Burgess Hill,1,3,,,,,
3,City Thameslink,1,2,6,3,5,8,7
4,East Croydon,1,2,6,3,,,
5,Farringdon,1,2,6,3,5,8,7
6,Flitwick,1,2,,,,,
7,Gatwick Airport,1,2,6,3,,,
8,Harlington,1,2,,,,,
9,Harpenden,1,2,5,,,,
10,Hassocks,1,,,,,,
11,Haywards Heath,1,3,,,,,
12,Leagrave,1,2,,,,,
13,London Blackfriars,1,2,6,3,5,8,7
14,London Bridge,1,2,6,3,5,,
15,London St Pancras International,1,2,6,3,5,8,7
16,Luton,1,2,,,,,
17,Luton Airport Parkway,1,2,5,,,,
18,St Albans City,1,2,5,,,,
19,Three Bridges,1,6,3,,,,
20,West Hampstead Thameslink,1,5,8,7,,,
21,Wivelsfield,1,,,,,,
22,Earlswood,2,,,,,,
23,Horley,2,6,,,,,
24,Norwood Junction,2,,,,,,
25,Purley,2,,,,,,
26,Redhill,2,,,,,,
27,Salfords,2,,,,,,
28,South Croydon,2,,,,,,
29,Ashwell & Morden,3,,,,,,
30,Baldock,3,,,,,,
31,Letchworth Garden City,3,,,,,,
32,Royston,3,,,,,,
33,Bat & Ball,4,,,,,,
34,Beckenham Hill,4,,,,,,
35,Bellingham,4,,,,,,
36,Bickley,4,,,,,,
37,Bromley South,4,,,,,,
38,Catford,4,,,,,,
39,Crofton Park,4,,,,,,
40,Denmark Hill,4,,,,,,
41,Elephant & Castle,4,8,7,,,,
42,Eynsford,4,,,,,,
43,Nunhead,4,,,,,,
44,Otford,4,,,,,,
45,Peckham Rye,4,,,,,,
46,Ravensbourne,4,,,,,,
47,Shoreham,4,,,,,,
48,Shortlands,4,,,,,,
49,St Mary Cray,4,,,,,,
50,Swanley,4,,,,,,
1,Abbey Wood,5,,,,,,
2,Charlton,5,,,,,,
3,Chatham,5,,,,,,
4,Dartford,5,,,,,,
5,Deptford,5,,,,,,
6,Elstree & Borehamwood,5,8,7,,,,
7,Gillingham,5,,,,,,
8,Gravesend,5,,,,,,
9,Greenhithe,5,,,,,,
10,Greenwich,5,,,,,,
11,Higham,5,6,3,,,,
12,Maze Hill,5,,,,,,
13,Mill Hill Broadway,5,8,7,,,,
14,Northfleet,5,,,,,,
15,Plumstead,5,,,,,,
16,Radlett,5,8,7,,,,
17,Rochester,5,,,,,,
18,Slade Green,5,,,,,,
19,Stone Crossing,5,,,,,,
20,Strood,5,,,,,,
21,Swanscombe,5,,,,,,
22,Westcombe Park,5,,,,,,
23,Woolwich Arsenal,5,,,,,,
24,Arlesey,6,,,,,,
25,Biggleswade,6,,,,,,
26,Coulsdon South,6,,,,,,
27,Crawley,6,,,,,,
28,Faygate,6,,,,,,
29,Finsbury Park,6,3,,,,,
30,Huntingdon,6,,,,,,
31,Ifield,6,,,,,,
32,Littlehaven,6,,,,,,
33,Merstham,6,,,,,,
34,Redhill,6,,,,,,
35,Sandy,6,,,,,,
36,St Neots,6,,,,,,
37,Stevenage,6,3,,,,,
38,Carshalton,7,,,,,,
39,Hackbridge,7,,,,,,
40,Mitcham Eastfields,7,,,,,,
41,Mitcham Junction,7,,,,,,
42,Cricklewood,8,7,,,,,
43,Haydons Road,8,,,,,,
44,Hendon,8,7,,,,,
45,Herne Hill,8,7,,,,,
46,Kentish Town,8,7,,,,,
47,Loughborough Junction,8,7,,,,,
48,Morden South,8,,,,,,
49,South Merton,8,,,,,,
50,St Helier,8,,,,,,
51,Streatham,8,7,,,,,
52,Sutton Common,8,,,,,,
53,Tooting,8,,,,,,
54,Tulse Hill,8,7,,,,,
55,West Sutton,8,,,,,,
56,Wimbledon,8,,,,,,
57,Wimbledon Chase,8,,,,,,
